all,sb,arm,drive
-5.287,-7.489,,
-13.522,-8.675,,
-0.89,-3.992,,
-5.708,-0.631,,
-9.374,-5.3,,
-0.742,-3.625,,
-13.698,-0.353,,
-39.021,-7.582,,
-12.177,-5.003,,
-3.178,-0.966,,
-9.703,-9.658,,
-23.071,-7.475,,
1.768,-10.324,,
1.432,-4.325,,
-7.32,-15.751,,
-5.162,-4.87,,
-3.749,-11.777,,
-0.943,-0.239,,
-22.229,-0.46,,
-1.396,-2.459,,
-6.556,-3.265,,
-9.301,-3.246,,
0.375,-1.015,,
-6.375,-10.194,,
-18.867,-1.386,,
-2.736,-1.254,,
-0.281,-3.839,,
-0.556,-0.442,,
-3.921,-3.049,,
-5.805,-3.766,,
1.354,-3.004,,
-4.206,-0.49,,
-19.881,-4.833,,
-11.671,-0.486,,
-16.613,-0.5,,
-0.267,-1.353,,
-5.373,-2.402,,
-0.454,-6.701,,
-0.07,-2.665,,
1.177,-2.436,,
-1.4,-0.582,,
-7.808,-6.777,,
4.489,-4.208,,
-2.775,-8.319,,
-12.429,-0.09,,
-12.37,-2.377,,
-3.658,-1.686,,
-4.762,-2.721,,
-19.41,-3.181,,
-6.941,-6.711,,
-3.746,-2.913,,
-4.977,-4.621,,
-1.059,-20.071,,
-2.987,-1.907,,
-40.105,-3.887,,
-6.61,-8.096,,
-11.859,-2.312,,
-40.723,-5.88,,
-5.99,-1.824,,
-20.408,-2.745,,
-8.157,-2.291,,
-2.593,-0.979,,
-1.874,-1.816,,
-2.963,-1.7,,
-27.635,-0.03,,
-12.226,-4.472,,
-2.646,-0.475,,
-8.288,-6.981,,
-10.7,-5.429,,
-6.693,-2.931,,
-2.353,-9.733,,
0.335,-2.663,,
-2.898,-1.584,,
-4.427,-4.096,,
-0.762,-0.152,,
-3.014,-8.158,,
-4.448,-8.771,,
-0.822,-4.104,,
-9.184,-1.115,,
3.458,-10.685,,
-1.036,-8.403,,
9.616,-2.443,,
-6.894,-0.174,,
-4.76,-5.237,,
-6.92,-4.779,,
-2.052,-56.771,,
-7.442,-1.251,,
-7.907,-6.191,,
-29.109,-1.092,,
-19.084,-20.568,,
-0.309,-4.253,,
-76.492,-1.78,,
-0.782,-2.794,,
-27.206,-3.499,,
-0.993,-9.054,,
-3.383,-0.942,,
12.475,-4.685,,
-2.81,-3.29,,
